date,data
2017-01-01,72
2017-01-08,69
2017-01-15,67
2017-01-22,70
2017-01-29,68
2017-02-05,76
2017-02-12,70
2017-02-19,75
2017-02-26,74
2017-03-05,77
2017-03-12,75
2017-03-19,76
2017-03-26,68
2017-04-02,74
2017-04-09,77
2017-04-16,68
2017-04-23,62
2017-04-30,58
2017-05-07,63
2017-05-14,58
2017-05-21,63
2017-05-28,62
2017-06-04,60
2017-06-11,63
2017-06-18,62
2017-06-25,64
2017-07-02,69
2017-07-09,64
2017-07-16,69
2017-07-23,66
2017-07-30,62
2017-08-06,69
2017-08-13,67
2017-08-20,68
2017-08-27,71
2017-09-03,73
2017-09-10,73
2017-09-17,65
2017-09-24,63
2017-10-01,63
2017-10-08,67
2017-10-15,67
2017-10-22,70
2017-10-29,71
2017-11-05,72
2017-11-12,69
2017-11-19,61
2017-11-26,66
2017-12-03,61
2017-12-10,62
2017-12-17,63
2017-12-24,70
2017-12-31,72
2018-01-07,73
2018-01-14,79
2018-01-21,74
2018-01-28,77
2018-02-04,80
2018-02-11,75
2018-02-18,80
2018-02-25,78
2018-03-04,80
2018-03-11,83
2018-03-18,77
2018-03-25,73
2018-04-01,78
2018-04-08,71
2018-04-15,67
2018-04-22,72
2018-04-29,74
2018-05-06,69
2018-05-13,71
2018-05-20,74
2018-05-27,75
2018-06-03,77
2018-06-10,78
2018-06-17,100
2018-06-24,96
2018-07-01,79
2018-07-08,77
2018-07-15,76
2018-07-22,78
2018-07-29,76
2018-08-05,78
2018-08-12,82
2018-08-19,85
2018-08-26,97
2018-09-02,90
2018-09-09,82
2018-09-16,71
2018-09-23,73
2018-09-30,78
2018-10-07,80
2018-10-14,79
2018-10-21,76
2018-10-28,72
2018-11-04,77
2018-11-11,67
2018-11-18,71
2018-11-25,70
2018-12-02,67
2018-12-09,68
2018-12-16,69
2018-12-23,78
2018-12-30,79
2019-01-06,80
2019-01-13,84
2019-01-20,78
2019-01-27,36
2019-02-03,30
2019-02-10,28
2019-02-17,31
2019-02-24,28
2019-03-03,33
2019-03-10,31
2019-03-17,34
2019-03-24,32
2019-03-31,70
2019-04-07,75
2019-04-14,78
2019-04-21,78
2019-04-28,81
2019-05-05,77
2019-05-12,77
2019-05-19,75
2019-05-26,74
2019-06-02,74
2019-06-09,87
2019-06-16,77
2019-06-23,82
2019-06-30,82
2019-07-07,83
2019-07-14,86
2019-07-21,84
2019-07-28,83
2019-08-04,85
2019-08-11,85
2019-08-18,87
2019-08-25,85
2019-09-01,80
2019-09-08,78
2019-09-15,74
2019-09-22,76
2019-09-29,74
2019-10-06,86
2019-10-13,78
2019-10-20,77
2019-10-27,74
2019-11-03,73
2019-11-10,76
2019-11-17,76
2019-11-24,73
2019-12-01,67
2019-12-08,74
2019-12-15,68
2019-12-22,74
2019-12-29,76
