date,data
2016-01-03,17
2016-01-10,18
2016-01-17,17
2016-01-24,16
2016-01-31,15
2016-02-07,15
2016-02-14,20
2016-02-21,17
2016-02-28,19
2016-03-06,20
2016-03-13,19
2016-03-20,19
2016-03-27,24
2016-04-03,19
2016-04-10,19
2016-04-17,19
2016-04-24,18
2016-05-01,17
2016-05-08,20
2016-05-15,20
2016-05-22,19
2016-05-29,20
2016-06-05,19
2016-06-12,21
2016-06-19,17
2016-06-26,18
2016-07-03,20
2016-07-10,21
2016-07-17,20
2016-07-24,18
2016-07-31,21
2016-08-07,19
2016-08-14,16
2016-08-21,20
2016-08-28,20
2016-09-04,20
2016-09-11,20
2016-09-18,20
2016-09-25,19
2016-10-02,20
2016-10-09,19
2016-10-16,19
2016-10-23,19
2016-10-30,18
2016-11-06,19
2016-11-13,20
2016-11-20,19
2016-11-27,22
2016-12-04,41
2016-12-11,42
2016-12-18,42
2016-12-25,46
2017-01-01,55
2017-01-08,53
2017-01-15,47
2017-01-22,51
2017-01-29,48
2017-02-05,54
2017-02-12,50
2017-02-19,52
2017-02-26,53
2017-03-05,57
2017-03-12,57
2017-03-19,57
2017-03-26,54
2017-04-02,48
2017-04-09,57
2017-04-16,52
2017-04-23,47
2017-04-30,46
2017-05-07,42
2017-05-14,44
2017-05-21,46
2017-05-28,44
2017-06-04,42
2017-06-11,44
2017-06-18,49
2017-06-25,47
2017-07-02,51
2017-07-09,50
2017-07-16,45
2017-07-23,49
2017-07-30,47
2017-08-06,47
2017-08-13,51
2017-08-20,50
2017-08-27,49
2017-09-03,50
2017-09-10,50
2017-09-17,49
2017-09-24,47
2017-10-01,50
2017-10-08,51
2017-10-15,47
2017-10-22,47
2017-10-29,51
2017-11-05,55
2017-11-12,48
2017-11-19,47
2017-11-26,45
2017-12-03,46
2017-12-10,47
2017-12-17,47
2017-12-24,51
2017-12-31,54
2018-01-07,53
2018-01-14,56
2018-01-21,55
2018-01-28,50
2018-02-04,59
2018-02-11,56
2018-02-18,58
2018-02-25,57
2018-03-04,60
2018-03-11,56
2018-03-18,58
2018-03-25,53
2018-04-01,56
2018-04-08,52
2018-04-15,49
2018-04-22,53
2018-04-29,57
2018-05-06,50
2018-05-13,50
2018-05-20,55
2018-05-27,56
2018-06-03,57
2018-06-10,57
2018-06-17,72
2018-06-24,71
2018-07-01,58
2018-07-08,58
2018-07-15,53
2018-07-22,52
2018-07-29,57
2018-08-05,57
2018-08-12,60
2018-08-19,64
2018-08-26,69
2018-09-02,59
2018-09-09,58
2018-09-16,53
2018-09-23,52
2018-09-30,54
2018-10-07,59
2018-10-14,60
2018-10-21,55
2018-10-28,55
2018-11-04,51
2018-11-11,52
2018-11-18,53
2018-11-25,51
2018-12-02,49
2018-12-09,49
2018-12-16,51
2018-12-23,57
2018-12-30,61
2019-01-06,60
2019-01-13,58
2019-01-20,53
2019-01-27,26
2019-02-03,21
2019-02-10,20
2019-02-17,24
2019-02-24,22
2019-03-03,21
2019-03-10,21
2019-03-17,22
2019-03-24,23
2019-03-31,51
2019-04-07,55
2019-04-14,54
2019-04-21,62
2019-04-28,59
2019-05-05,54
2019-05-12,52
2019-05-19,55
2019-05-26,56
2019-06-02,57
2019-06-09,61
2019-06-16,61
2019-06-23,64
2019-06-30,63
2019-07-07,64
2019-07-14,63
2019-07-21,61
2019-07-28,63
2019-08-04,64
2019-08-11,64
2019-08-18,65
2019-08-25,61
2019-09-01,60
2019-09-08,57
2019-09-15,56
2019-09-22,57
2019-09-29,53
2019-10-06,65
2019-10-13,55
2019-10-20,55
2019-10-27,55
2019-11-03,56
2019-11-10,56
2019-11-17,59
2019-11-24,53
2019-12-01,51
2019-12-08,55
2019-12-15,52
2019-12-22,56
2019-12-29,54
2020-01-05,60
2020-01-12,57
2020-01-19,57
2020-01-26,56
2020-02-02,54
2020-02-09,54
2020-02-16,62
2020-02-23,100
2020-03-01,58
2020-03-08,37
2020-03-15,32
2020-03-22,27
2020-03-29,24
2020-04-05,22
2020-04-12,20
2020-04-19,22
2020-04-26,24
2020-05-03,24
2020-05-10,27
2020-05-17,25
2020-05-24,27
2020-05-31,22
2020-06-07,23
2020-06-14,24
2020-06-21,27
2020-06-28,25
2020-07-05,25
2020-07-12,23
2020-07-19,24
2020-07-26,24
2020-08-02,21
2020-08-09,24
2020-08-16,20
2020-08-23,22
2020-08-30,21
2020-09-06,22
2020-09-13,20
2020-09-20,23
2020-09-27,20
2020-10-04,22
2020-10-11,20
2020-10-18,22
2020-10-25,20
2020-11-01,17
2020-11-08,19
2020-11-15,21
2020-11-22,20
2020-11-29,19
2020-12-06,18
2020-12-13,21
2020-12-20,21
2020-12-27,22
2021-01-03,21
2021-01-10,22
2021-01-17,20
2021-01-24,20
2021-01-31,20
2021-02-07,22
2021-02-14,21
2021-02-21,21
2021-02-28,20
